attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28
"69032"," 46"," 216"," 0"," 0.74"," 0.733333333333333"," 0.97","-0.27102543537902823","-0.966216260149011","-0.10520929715590954","-0.9662144709804554","-14.03375018738067","-0.52361676142864","-0.9662161934519637","-0.3614541503933108","0.061449524676324696","-0.3550075261665565","0.3190394511149226","-4.224699828473412","-0.43688943342340447","0.07577138742219383","-0.7048143171200114","0.003168365262487982","-0.616631972140621","0.01225657088383536","-8.5443279313632","-0.8526279969085451","0.0023375627171551283"
"69033"," 46"," 216"," 1E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27101132753298895","-0.9662300453366908","-0.10519522734168918","-0.9662281037552134","-14.033733699281425","-0.5236026145191641","-0.966229965064138","-0.07657249373652872","0.22620506178457697","-0.09050652851191923","1.1997059544229358","-1.1543739279588334","-0.11068318267902921","0.28489094381057783","-0.11208543747064359","0.3431450749985413","0.09911285772650327","1.3814517227291303","-2.5519542421353663","-0.15942535419924347","0.3526055039824941"
"69034"," 46"," 216"," 2E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27099763888369466","-0.9662443818633222","-0.10518171825195533","-0.9662435640976057","-14.03372306179804","-0.5235890279965832","-0.9662443645496359","-0.4561825833004113","0.07282128729953152","-0.36722441978506715","0.35726537613330045","-5.662092624356775","-0.5493590983643271","0.08343007451869372","-0.6620809906422052","0.08385050874496613","-0.5566915040563424","0.42353261609696313","-8.035271687321258","-0.7960238199980556","0.09655374766392683"
"69035"," 46"," 216"," 3E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27098376559950954","-0.9662585095822114","-0.10516787824051088","-0.9662581386495579","-14.033710632738506","-0.5235751674577693","-0.9662585021058476","-0.612298031194835","0.0012601953302761038","-0.5260440368257091","0.01176182308257756","-7.41852487135506","-0.7358893498390195","0.0021281870118440294","-0.8807655909973955","0.003212833546873739","-0.7617264255559246","0.020972354623450595","-10.67206863679695","-1.0581006956223624","0.0021676303446809264"
"69036"," 46"," 216"," 4E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2709698840468725","-0.9662726378723934","-0.1051539532491711","-0.966272645217595","-14.033698217675662","-0.5235613241212055","-0.9662726410203384","-0.6902401122173935","-0.01787277027939349","-0.5928343893303476","-0.07743200196030353","-8.365351629502571","-0.8323238380010112","-0.01772810499913191","-0.9463403296767432","-0.008126578971504372","-0.8217836228867161","-0.02805392891188907","-11.478551000953289","-1.1406220408242653","-0.00820697921782687"
"69037"," 46"," 216"," 5E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27095598655412934","-0.966286777221184","-0.10513990814339047","-0.9662870698050259","-14.033686782381027","-0.5235474390566444","-0.9662867846975508","-0.7418668643639763","-0.009481469627792283","-0.6402667413449099","-0.04263660867434427","-9.017152658662095","-0.8961135085632135","-0.01473764147728629","-0.9660606241679565","-9.949778631321848E-4","-0.8368806054356934","-0.007081574288438142","-11.732125834127743","-1.1648518532582897","-3.785759746596229E-4"
"69038"," 46"," 216"," 6E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27094200839679594","-0.9663009402786507","-0.1051258987434488","-0.966301102485174","-14.033674703238706","-0.5235335118928176","-0.9663009255226682","-0.7649754461941599","0.0","-0.6619000945146511","-3.3306690738754696E-16","-9.295025728987993","-0.9247061036807629","0.0","-0.9723785946354572","5.502950192741718E-4","-0.8429310713799358","0.0016342094511780925","-11.80266920877026","-1.172166921489597","-4.949081829186408E-4"
"69039"," 46"," 216"," 7E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27092798559696285","-0.9663149752847797","-0.10511188534445315","-0.9663149911993822","-14.033661252420904","-0.5235195161633712","-0.9663149599385578","-0.7685047432352012","0.007031089818922087","-0.6676059789267352","0.0034305317324186957","-9.30188679245283","-0.9257525796600501","0.0016302526891669444","-0.9718811057038911","0.0030016091960414215","-0.8409466741892198","0.004085523627945231","-11.785510009532887","-1.1698834694144113","2.412007389676063E-4"
"69040"," 46"," 216"," 8E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2709139575228674","-0.9663289297385371","-0.10509790536612174","-0.9663288679164287","-14.033646877821642","-0.5235054701246067","-0.9663289319027497","-0.7490867334436836","0.007041091369162089","-0.6532537543319229","0.012741975006125839","-9.154373927958835","-0.9082941082908651","0.004244229284110501","-0.9639282309682689","0.0024179629634776267","-0.8351491216124215","0.004085523627944676","-11.701620591039084","-1.1619815999144194","5.955573801669223E-4"
"69041"," 46"," 216"," 9E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2708999508518717","-0.9663429498910372","-0.10508388168384453","-0.9663428146169178","-14.033633049093241","-0.5234914826538271","-0.966342928445675","-0.7564878806214962","0.002960458871124949","-0.6540938845521072","0.006861063464837058","-9.154373927958833","-0.9104391346475014","0.004792885754434817","-0.9659709927822414","-1.1102230246251565E-16","-0.8365109628217364","-4.440892098500626E-16","-11.71115347950429","-1.163180513640446","0.0"
"69012"," 45"," 216"," 0"," 0.74"," 0.733333333333333"," 0.97","-0.2713052260177916","-0.9659361886940301","-0.10548912224060525","-0.965933795382688","-14.034027545763223","-0.5238964908116432","-0.9659360340513166","-0.2805778645690081","0.06930074161495034","-0.2865719186473905","0.321489830923793","-3.1818181818181817","-0.3378514932569644","0.0774502190696705","-0.6504719891497383","0.015141450833363379","-0.5516721464562958","0.034318398474738276","-7.983794089609152","-0.7845386660807878","0.010371036218226659"
"69013"," 45"," 216"," 1E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2712911084393608","-0.96595002342101","-0.105474911316911","-0.9659474801451465","-14.034013129173898","-0.5238823832641588","-0.9659499291794591","-0.11824020223134565","0.17522716020983267","-0.10986452900199556","0.7277628032345017","-1.3464837049742695","-0.14138917935341166","0.1844375163864696","-0.08935102707840603","0.39915843771799914","0.31692963171922717","2.195288029415771","-1.979980934223069","-0.03817472113592896","0.49880114299372663"
